timestamp,session_id,device_id,event_type,key,interval_ms
1777217798.6763556,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217798.6818793,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,r,5.52
1777217798.6828792,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,r,0.0
1777217798.686479,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,d,4.6
1777217798.6879866,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,d,0.0
1777217801.5498252,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,2863.35
1777217801.6869793,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217801.6907034,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,140.88
1777217801.8048046,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,d,114.1
1777217801.83033,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217801.9182441,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,d,0.0
1777217801.9890954,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,e,184.29
1777217802.020965,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,31.87
1777217802.1100163,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,e,0.0
1777217802.181486,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217802.2158148,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,g,194.85
1777217802.3169851,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,g,0.0
1777217802.3679078,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,152.09
1777217802.4292655,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,61.36
1777217802.4699872,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217802.5746012,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
1777217802.5763097,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,147.04
1777217802.709408,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217802.877957,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,x,301.65
1777217802.9980042,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,x,0.0
1777217803.002527,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,124.57
1777217803.0935657,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217803.118138,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,e,115.61
1777217803.2397015,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,121.56
1777217803.271097,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,e,0.0
1777217803.3666189,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,126.92
1777217803.4055018,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217803.4617326,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217803.6937122,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,d,327.09
1777217803.7664895,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,d,0.0
1777217803.8724043,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,178.69
1777217803.9518943,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,n,79.49
1777217803.9738097,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217804.0707347,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,n,0.0
1777217804.1654317,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,x,213.54
1777217804.1689396,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,3.51
1777217804.170936,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,2.0
1777217804.189806,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,x,0.0
1777217804.1928053,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217804.2140772,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,43.14
1777217804.3022623,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217804.3497558,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
1777217804.6139588,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,399.88
1777217804.685752,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217804.7979312,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,183.97
1777217804.9106503,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217804.9970949,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,199.16
1777217805.1339877,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217805.2366822,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,239.59
1777217805.310916,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,74.23
1777217805.3411453,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217805.4211884,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,110.27
1777217805.4781177,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217805.589206,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,168.02
1777217805.6123197,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217805.765426,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
1777217805.767426,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,',178.22
1777217805.8215582,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,u,54.13
1777217805.8613567,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,',0.0
1777217805.902396,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,u,0.0
1777217805.9903655,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,n,168.81
1777217806.1014943,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,n,0.0
1777217806.1336522,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,143.29
1777217806.26168,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217806.4136674,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,v,280.02
1777217806.5103588,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,v,0.0
1777217806.573819,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,e,160.15
1777217806.6454844,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,r,71.67
1777217806.6785855,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,e,0.0
1777217806.7655928,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,r,0.0
1777217806.8056762,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,160.19
1777217806.917409,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,111.73
1777217806.933897,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217807.0696256,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217807.0716255,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,o,154.22
1777217807.2067401,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,o,0.0
1777217807.2619004,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,b,190.27
