timestamp,session_id,device_id,event_type,x,y,button,delta_x,delta_y,speed
1777217745.6194887,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,336,41,,,,5699.64
1777217745.6283016,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,379,49,,,,4962.93
1777217745.6360056,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,459,65,,,,10589.84
1777217745.6435225,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,535,72,,,,10153.4
1777217745.6520457,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,612,72,,,,9034.14
1777217745.659567,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,697,72,,,,11301.1
1777217745.6675873,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,788,72,,,,11346.4
1777217745.6756241,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,882,72,,,,11696.12
1777217745.684148,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,970,72,,,,10323.86
1777217745.6921465,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1066,80,,,,12043.9
1777217745.7001247,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1152,93,,,,10901.83
1777217745.7074087,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1235,109,,,,11604.74
1777217745.716061,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1321,119,,,,10006.35
1777217745.7241418,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1391,134,,,,8859.25
1777217745.7321713,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1457,142,,,,8279.89
1777217745.7397978,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1503,148,,,,6082.67
1777217745.7483385,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1529,152,,,,3080.09
1777217745.7558694,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1550,153,,,,2791.66
1777217745.7644303,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1565,153,,,,1752.15
1777217745.7715228,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1577,153,,,,1691.93
1777217745.7800665,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1585,153,,,,936.36
1777217745.7880766,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1588,153,,,,374.52
1777217745.7961206,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1591,153,,,,372.95
